;Time;Number_of_Casualties;Day_of_Week;Road_Type;Speed_limit;Light_Conditions;Weather_Conditions;Road_Surface_Conditions;Urban_or_Rural_Area;Vehicle_Type;Did_Police_Officer_Attend_Scene_of_Accident;Junction_Detail;Number_of_Vehicles;Accident_Severity;Unnamed: 14;Accident_Date
95;Noche;-2;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;6/09/2022 13:26
96;Tarde;-1;Día laboral;6;60.0;1;2;2;2;bike;1;0;1;2;;10/03/2023 3:08
97;Noche;-1;Día laboral;6;30.0;4;2;2;1;bike;2;0;1;3;;8/01/2023 15:49
98;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;28/05/2023 7:44
99;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;15/05/2023 2:02
100;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;8;1;3;;26/08/2022 11:34
101;Noche;-1;;6;20.0;1;1;1;1;bike;1;0;1;3;;10/02/2023 3:00
102;Noche;-1;Día laboral;6;20.0;4;1;1;1;bike;1;0;1;3;;28/01/2023 22:47
103;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;2;0;1;2;;12/08/2022 13:55
104;Tarde;-1;Día laboral;3;30.0;1;1;1;1;bike;1;0;1;3;;12/06/2022 10:40
105;Mañana;-1;Día laboral;6;30.0;1;2;2;1;bike;2;0;1;3;;25/02/2023 8:30
106;Noche;-1;Día laboral;2;30.0;1;1;1;2;bike;1;0;1;3;;4/04/2023 3:45
107;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;24/07/2022 14:21
108;Tarde;-1;Fin de semana;2;30.0;1;1;1;1;bike;2;3;1;3;;17/08/2022 23:16
109;Tarde;-1;Fin de semana;6;30.0;1;1;1;2;bike;2;0;1;3;;25/11/2022 18:43
110;Tarde;-1;Fin de semana;6;30.0;1;2;2;1;bike;2;3;1;2;;9/02/2023 23:04
111;Tarde;-1;Día laboral;2;30.0;1;1;1;1;bike;2;0;1;2;;19/10/2022 2:19
112;Noche;-2;Día laboral;1;30.0;1;1;1;1;bike;1;1;1;2;;17/01/2023 0:25
113;Noche;-1;Fin de semana;6;30.0;4;2;2;1;bike;1;3;1;3;;26/05/2023 2:20
114;Noche;-1;Día laboral;6;30.0;4;1;1;2;bike;1;3;1;3;;13/05/2022 20:40
115;Noche;-1;Día laboral;6;60.0;6;1;1;2;bike;1;0;1;3;;24/08/2022 4:00
116;Mañana;-1;Fin de semana;6;60.0;1;1;1;2;bike;1;0;1;2;;22/05/2023 18:55
117;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;2;;6/05/2023 2:30
118;Mañana;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;1;;9/04/2023 17:59
119;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;1;;4/12/2022 12:16
120;Mañana;-1;Día laboral;6;30.0;1;;66;1;bike;3;3;1;3;;28/06/2022 4:31
121;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;23/01/2023 13:37
122;Tarde;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;3;;25/07/2022 14:06
123;Mañana;-1;Día laboral;6;40.0;1;1;1;2;bike;1;0;1;3;;16/07/2022 6:30
124;Tarde;-1;Día laboral;1;30.0;1;1;1;1;bike;1;1;1;2;;15/08/2022 4:50
125;Tarde;-1;Fin de semana;9;30.0;1;1;1;1;bike;2;0;1;3;;14/06/2022 6:20
126;Noche;-1;Fin de semana;6;30.0;1;;66;1;bike;3;0;1;2;;25/02/2023 8:17
127;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;29/01/2023 13:51
128;Tarde;-1;Fin de semana;6;30.0;4;1;1;1;bike;2;6;1;3;;5/05/2023 21:06
129;Tarde;-1;Día laboral;6;30.0;4;2;2;1;bike;2;0;1;3;;19/09/2022 21:49
130;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;6;1;3;;5/11/2022 12:07
131;Tarde;-1;Fin de semana;6;40.0;1;1;1;2;bike;1;0;1;2;;9/02/2023 0:20
132;Mañana;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;9;1;3;;2/12/2022 8:36
133;Tarde;-1;Día laboral;6;30.0;1;2;2;1;bike;1;6;1;3;;27/04/2023 6:35
134;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;7/07/2022 7:07
135;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;;22/10/2022 3:56
136;Tarde;-1;Fin de semana;2;30.0;1;1;1;1;bike;1;0;1;3;;6/08/2022 19:06
137;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;2;;27/12/2022 20:27
138;Tarde;-2;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;23/01/2023 7:09
139;Noche;-1;Día laboral;3;30.0;4;2;2;1;bike;2;3;1;2;;11/05/2023 13:46
140;Tarde;-1;Fin de semana;6;30.0;1;1;1;2;bike;1;3;1;3;;6/01/2023 13:32
141;Mañana;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;;17/04/2023 17:47
142;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;;28/11/2022 12:23
143;Mañana;-1;Día laboral;6;30.0;1;1;1;2;bike;1;3;1;2;;14/05/2023 13:23
144;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;;10/12/2022 7:26
145;Noche;-1;Fin de semana;1;60.0;4;1;1;2;bike;1;1;1;3;;6/03/2023 20:58
146;Noche;-1;Fin de semana;6;30.0;4;1;1;1;bike;1;0;1;3;;22/03/2023 23:16
147;Tarde;-1;Día laboral;1;30.0;1;1;1;2;bike;2;1;1;2;;20/08/2022 14:22
148;Tarde;-1;Día laboral;2;30.0;1;1;1;1;bike;1;3;1;3;;8/09/2022 18:11
149;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;;20/03/2023 16:01
150;Tarde;-1;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;3;;5/05/2022 13:10
151;Tarde;-1;Fin de semana;6;30.0;1;1;1;2;bike;2;0;1;3;;25/04/2023 16:47
152;Tarde;-1;Día laboral;6;60.0;1;2;2;2;bike;1;0;1;3;;18/04/2023 0:44
153;Mañana;-1;Día laboral;6;30.0;1;2;2;1;bike;1;0;1;3;;24/03/2023 21:35
154;Tarde;-1;Día laboral;6;40.0;1;1;1;2;bike;1;0;1;3;;14/03/2023 21:56
155;Noche;-1;Día laboral;6;60.0;6;1;1;2;bike;1;8;1;2;;22/11/2022 8:52
156;Tarde;-2;Día laboral;6;40.0;6;1;1;2;bike;1;0;1;3;;30/09/2022 22:51
157;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;3;;24/08/2022 6:58
158;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;5/02/2023 2:36
159;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;;30/06/2022 23:10
160;Tarde;-1;Día laboral;2;20.0;1;1;1;1;bike;1;0;1;3;;18/03/2023 4:20
161;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;-1;0;1;2;;2/12/2022 21:49
162;Noche;-1;Día laboral;1;60.0;1;1;1;2;bike;-1;1;1;3;;3/06/2022 18:27
163;Noche;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;2;;23/05/2023 3:02
164;Mañana;-1;Fin de semana;6;30.0;1;2;2;1;bike;1;3;1;2;;1/12/2022 11:52
165;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;1/02/2023 3:26
166;Tarde;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;;3/09/2022 7:17
167;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;3;;1/03/2023 13:23
168;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;;23/02/2023 18:01
169;Tarde;-1;Día laboral;3;30.0;1;1;1;1;bike;1;9;1;2;;4/12/2022 22:51
170;Noche;-1;Día laboral;2;30.0;4;1;1;1;bike;1;3;1;3;;18/05/2023 3:26
171;Mañana;-1;Día laboral;6;30.0;1;2;2;1;bike;1;0;1;2;;18/11/2022 22:03
172;Noche;-1;Día laboral;6;30.0;1;2;2;1;bike;2;8;1;3;;16/04/2023 5:29
173;Tarde;-1;Día laboral;6;30.0;4;2;2;2;bike;1;0;1;2;;29/04/2023 5:18
174;Mañana;-1;Fin de semana;6;40.0;1;1;1;2;bike;1;0;1;3;;27/12/2022 17:48
175;Tarde;-2;Fin de semana;6;20.0;1;1;1;1;bike;1;0;1;3;;8/01/2023 20:14
176;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;21/07/2022 0:00
177;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;20/01/2023 0:08
178;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;2;0;1;3;;7/09/2022 9:07
179;Tarde;-1;Fin de semana;6;60.0;1;1;1;2;bike;1;0;1;2;;17/11/2022 5:51
180;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;17/05/2022 8:57
181;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;13/08/2022 9:09
182;Mañana;-1;Fin de semana;6;30.0;1;5;5;1;bike;1;0;1;3;;7/07/2022 21:16
183;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;;1/04/2023 2:25
184;Tarde;-1;Día laboral;6;30.0;1;1;1;2;bike;1;0;1;3;;26/08/2022 8:21
185;Noche;-1;Fin de semana;6;30.0;4;1;1;1;bike;1;9;1;3;;16/03/2023 19:33
186;Mañana;-1;Fin de semana;6;30.0;1;1;1;2;bike;1;0;1;3;;9/04/2023 10:31
187;Tarde;-1;Día laboral;9;30.0;1;1;1;2;bike;1;3;1;3;;6/08/2022 9:19
188;Tarde;-1;Día laboral;9;30.0;1;1;1;2;bike;1;0;1;2;;18/08/2022 13:54
189;Madrugada;-1;Fin de semana;6;30.0;4;1;1;1;bike;1;3;1;3;;3/02/2023 2:20
190;Mañana;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;;11/07/2022 5:50
191;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;29/09/2022 21:18
192;Tarde;-1;Fin de semana;6;40.0;1;1;1;2;bike;1;3;1;3;;25/02/2023 1:34
193;Noche;-1;Día laboral;6;30.0;4;2;2;1;bike;1;3;1;3;;22/04/2023 8:47
194;Tarde;-1;Día laboral;6;30.0;1;1;1;2;bike;1;9;1;2;;25/10/2022 5:24
195;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;9;1;3;;6/06/2022 20:14
196;Tarde;-1;Día laboral;9;30.0;1;2;2;1;bike;1;0;1;3;;3/10/2022 11:49
197;Noche;-1;Día laboral;6;60.0;6;4;4;2;bike;1;9;1;3;;25/02/2023 22:10
198;Tarde;-1;Fin de semana;6;30.0;1;2;2;1;bike;1;3;1;3;;1/06/2022 4:29
199;Tarde;-1;;2;30.0;7;2;2;2;bike;1;0;1;3;;10/10/2022 0:47
200;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;;3/05/2022 17:59
201;Mañana;-1;Día laboral;6;30.0;1;1;1;2;bike;1;0;1;3;;3/02/2023 9:04
202;Tarde;-1;Fin de semana;6;30.0;1;2;2;2;bike;1;0;1;2;;24/10/2022 18:17
203;Mañana;-1;Fin de semana;9;30.0;1;1;1;1;bike;1;0;1;3;;22/07/2022 12:08
204;Tarde;-1;Día laboral;9;30.0;1;1;1;1;bike;1;9;1;3;;24/12/2022 17:55
205;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;26/05/2022 13:57
206;Tarde;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;1;;24/08/2022 21:40
207;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;25/05/2023 17:29
208;Tarde;-1;Día laboral;6;30.0;1;3;3;1;bike;1;0;1;3;;28/10/2022 9:49
209;Mañana;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;2;;13/05/2022 23:14
210;Mañana;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;1;;9/01/2023 11:22
211;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;2;0;1;3;;27/02/2023 16:29
212;Noche;-1;Fin de semana;6;30.0;4;2;2;1;bike;1;0;1;3;;12/04/2023 8:20
213;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;;11/01/2023 9:01
214;Tarde;-1;Día laboral;6;30.0;1;1;1;2;bike;2;0;1;3;;17/09/2022 20:04
215;Tarde;-1;Fin de semana;6;20.0;1;1;1;1;bike;1;0;1;3;;21/03/2023 3:14
216;Tarde;-2;Fin de semana;6;30.0;4;2;2;1;bike;2;0;1;3;;7/10/2022 12:19
217;Tarde;-1;Día laboral;2;30.0;1;2;2;1;bike;2;3;1;3;;14/04/2023 1:46
218;Noche;-1;Día laboral;6;60.0;1;2;2;2;bike;1;3;1;3;;8/02/2023 15:09
219;Tarde;-1;Día laboral;6;20.0;1;2;2;1;bike;1;6;1;3;;4/06/2022 13:36
220;Mañana;-1;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;3;;19/08/2022 12:05
221;Noche;-1;Fin de semana;6;30.0;1;1;1;2;bike;1;0;1;2;;18/01/2023 18:55
222;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;1;;31/12/2022 13:15
223;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;2;;23/10/2022 17:10
224;Noche;-1;Día laboral;6;30.0;1;1;1;2;bike;1;0;1;2;;29/05/2023 2:23
225;Noche;-1;Día laboral;3;30.0;4;1;1;1;bike;1;0;1;2;;25/11/2022 14:06
226;Mañana;-1;Fin de semana;6;40.0;1;1;1;1;bike;1;0;1;1;;22/08/2022 9:01
227;Tarde;-1;Día laboral;3;40.0;1;1;1;1;bike;2;7;1;3;;19/09/2022 21:13
228;Tarde;-2;Día laboral;6;60.0;6;2;2;2;bike;1;0;1;2;;11/01/2023 13:47
229;Tarde;-1;Día laboral;9;30.0;1;1;1;1;bike;1;0;1;3;;30/03/2023 10:19
230;Mañana;-1;Día laboral;3;40.0;1;1;1;1;bike;1;0;1;2;;31/12/2022 6:00
231;Noche;-1;Día laboral;9;60.0;1;1;1;2;bike;1;3;1;3;;13/12/2022 4:32
232;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;;18/06/2022 22:51
233;Tarde;-1;Día laboral;1;30.0;1;1;1;1;bike;1;1;1;3;;15/05/2022 5:40
234;Mañana;-2;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;;27/05/2022 10:16
235;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;7;1;2;;14/03/2023 18:04
236;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;6/01/2023 15:04
237;Tarde;-1;Día laboral;7;30.0;1;1;1;1;bike;1;0;1;2;;20/10/2022 22:50
238;Tarde;-1;;2;30.0;1;1;1;1;bike;1;0;1;2;;20/09/2022 18:10
239;Tarde;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;1;;19/11/2022 19:20
240;Noche;-1;Día laboral;6;60.0;6;2;2;2;bike;1;0;1;3;;19/12/2022 11:34
241;Mañana;-2;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;3;;27/03/2023 11:54
242;Mañana;-1;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;3;;7/12/2022 14:30
243;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;;11/05/2023 21:12
244;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;24/03/2023 8:25
245;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;14/03/2023 6:33
246;Tarde;-2;Día laboral;6;30.0;1;1;1;1;bike;2;6;1;2;;28/09/2022 7:45
247;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;18/08/2022 19:04
248;Tarde;-4;Fin de semana;6;30.0;1;2;2;1;bike;1;3;1;3;;30/05/2023 22:15
249;Tarde;-1;;6;30.0;1;1;1;1;bike;1;6;1;2;;27/11/2022 5:56
250;Mañana;-2;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;2;;30/11/2022 10:32
251;Noche;-1;Día laboral;6;30.0;1;2;2;1;bike;1;0;1;3;;16/12/2022 7:28
252;Tarde;-2;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;3;;30/01/2023 19:03
253;Tarde;-1;Día laboral;2;30.0;1;1;1;1;bike;1;6;1;3;;13/05/2022 6:41
254;Noche;-1;Día laboral;2;30.0;4;1;1;1;bike;1;0;1;3;;18/02/2023 3:06
255;Noche;-1;Día laboral;3;30.0;1;1;1;1;bike;1;0;1;3;;27/09/2022 15:01
256;Noche;-2;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;3/07/2022 12:45
257;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;;20/09/2022 2:39
258;Noche;-1;;6;30.0;1;1;1;1;bike;2;0;1;2;;27/02/2023 16:44
